,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
244,Verkhnyaya Inta,65.98,60.31,62.83,53,53,15.48,RU,1596169174
245,Grand-Lahou,5.14,-5.02,74.46,86,97,7.58,CI,1596169175
246,Baiyin,36.56,104.21,78.8,39,46,6.71,CN,1596169175
247,Tommot,58.96,126.29,59.18,84,100,7.18,RU,1596169175
248,Kikwit,-5.04,18.82,71.78,31,0,2.19,CD,1596169175
249,Taoudenni,22.68,-3.98,90.1,36,26,9.95,ML,1596169176
250,San Jose,37.34,-121.89,69.01,77,20,11.41,US,1596169171
251,Tuatapere,-46.13,167.68,53.4,87,100,3.69,NZ,1596169176
252,Äänekoski,62.69,25.82,57.2,82,20,6.93,FI,1596169176
253,Sri Aman,1.24,111.46,86.0,70,40,5.82,MY,1596169176
254,Turinsk,58.05,63.7,61.38,97,100,7.45,RU,1596169177
255,Maposeni,-10.58,35.4,63.3,68,90,5.82,TZ,1596169177
256,Vao,-22.67,167.48,72.12,91,76,13.44,NC,1596169177
257,Edd,13.93,41.69,87.57,63,99,6.31,ER,1596169177
258,Half Moon Bay,37.46,-122.43,63.0,93,90,8.05,US,1596169178
259,Petropavlovsk-Kamchatskiy,53.05,158.65,59.0,100,90,6.71,RU,1596169178
260,Brazzaville,-4.27,15.28,72.57,68,10,4.5,CG,1596169179
261,Tumut,-35.3,148.22,57.38,62,0,5.5,AU,1596169180
262,Qaqortoq,60.72,-46.03,44.6,87,100,5.82,GL,1596169180
263,Katsuura,35.13,140.3,82.0,73,27,5.01,JP,1596169181
264,Mahébourg,-20.41,57.7,69.8,88,40,6.93,MU,1596169181
265,Sur,22.57,59.53,92.7,53,68,2.71,OM,1596169181
266,Muroto-misakicho,33.28,134.15,86.0,74,40,8.05,JP,1596169181
267,Kenai,60.55,-151.26,64.4,59,40,6.93,US,1596169181
268,Tikhvin,59.65,33.53,54.7,96,99,6.6,RU,1596169182
269,Cherskiy,68.75,161.3,51.85,61,93,9.01,RU,1596169182
270,Chapais,49.78,-74.85,60.8,100,1,3.36,CA,1596169010
271,Keti Bandar,24.14,67.45,87.51,69,36,7.58,PK,1596169182
272,Cabo San Lucas,22.89,-109.91,82.4,51,5,5.82,MX,1596169079
273,Neiafu,-18.65,-173.98,71.6,83,75,11.41,TO,1596169183
274,Itarema,-2.92,-39.92,78.04,73,6,15.5,BR,1596169183
275,Laguna,38.42,-121.42,78.01,47,1,9.17,US,1596169184
276,Baykit,61.67,96.37,72.73,51,90,7.87,RU,1596169184
277,San Isidro,-12.12,-77.05,59.0,82,90,10.29,PE,1596169184
278,Hofn,64.25,-15.21,48.97,84,100,22.28,IS,1596169184
279,Rocha,-34.48,-54.33,41.92,93,1,9.26,UY,1596168987
280,Broome,42.25,-75.83,66.99,82,40,5.82,US,1596169185
281,Salaga,8.55,-0.52,73.02,92,45,6.15,GH,1596168966
282,Kavaratti,10.57,72.64,80.6,83,90,17.22,IN,1596169185
283,Warrnambool,-38.38,142.48,57.0,70,100,4.0,AU,1596169185
284,Ukiah,39.15,-123.21,77.0,27,1,3.51,US,1596169186
285,Pakxan,18.38,103.66,93.13,56,66,0.07,LA,1596169186
